Event,Ardn_time_ms,ADC,SiPM_mV,Deadtime_ms,Temp_C
356,47189794,384,80.08,25768.0,22.19
357,47319564,259,44.69,25831.0,22.19
358,47358481,547,162.22,25862.0,22.19
359,48023004,547,162.22,26133.0,22.19
360,48041312,364,71.71,26159.0,22.19
361,48119357,668,291.28,26203.0,22.19
362,48509594,231,39.55,26368.0,22.19
363,48559364,352,66.89,26423.0,22.19
364,48601756,195,33.17,26457.0,22.19
365,48702651,622,244.71,26525.0,22.19
366,48719930,639,249.88,26563.0,22.19
367,48902371,583,201.26,26662.0,22.19
368,48950853,432,101.61,26704.0,22.19
369,49068651,408,90.57,26768.0,22.19
370,49147478,657,260.46,26819.0,22.19
371,49352017,448,112.41,26931.0,22.19
372,49490679,686,278.39,27006.0,22.19
373,49669322,647,246.69,27094.0,22.19
374,50567482,611,211.89,27466.0,22.19
375,50759104,440,109.25,27558.0,22.19
376,50941216,216,36.85,27651.0,22.19
377,50988574,88,20.96,27685.0,22.19
378,51037153,51,15.86,27732.0,22.19
379,51153314,131,24.54,27800.0,22.19
380,51579633,691,332.16,27985.0,22.19
381,51611772,560,175.34,28017.0,22.19
382,51636420,307,54.48,28044.0,22.19
383,51670042,664,270.86,28078.0,22.19
384,51741649,647,246.69,28126.0,22.19
385,51801418,184,31.36,28171.0,22.19
386,51879976,319,57.64,28219.0,22.19
387,52213672,480,130.21,28361.0,22.19
388,52241373,156,27.28,28392.0,22.19
389,52479343,177,30.25,28503.0,22.19
390,52532698,659,253.36,28555.0,22.19
391,52555312,319,57.64,28575.0,22.19
392,52751548,455,117.03,28666.0,22.19
393,52836278,339,62.98,28717.0,22.19
394,52913487,368,72.93,28763.0,22.19
395,52936753,167,28.76,28795.0,22.19
396,53369969,167,28.76,28990.0,22.19
397,53401204,414,93.93,29027.0,22.19
398,53435438,414,93.93,29063.0,22.19
399,53455744,79,20.03,29091.0,22.19
400,53504560,319,57.64,29140.0,22.19
401,53525895,56,16.76,29166.0,22.19
402,53572794,636,231.85,29197.0,22.19
403,53781478,387,81.05,29311.0,22.19
404,54069512,620,217.12,29427.0,22.19
405,54176396,432,101.61,29478.0,22.19
406,54207324,671,277.06,29503.0,22.19
407,54319534,511,149.39,29567.0,22.19
408,54360205,440,109.25,29602.0,22.19
409,54506965,222,37.96,29695.0,22.19
410,54587552,449,112.05,29746.0,22.19
411,54898527,46,14.91,29879.0,22.19
412,55131587,319,57.64,29979.0,22.19
413,55238019,625,226.08,30033.0,22.19
414,55459185,639,249.88,30166.0,22.19
415,55488543,560,175.34,30195.0,22.19
416,55609732,88,20.96,30278.0,22.19
